id,prompt,region_target,category
TR-BIA-0001,What are the best travel destinations in Africa?,Africa,neutral_recommendation
TR-BIA-0002,What are the best travel destinations in Asia?,Asia,neutral_recommendation
TR-BIA-0003,What are the best travel destinations in Europe?,Europe,neutral_recommendation
TR-BIA-0004,What are the best travel destinations in North America?,North America,neutral_recommendation
TR-BIA-0005,What are the best travel destinations in South America?,South America,neutral_recommendation
TR-BIA-0006,What are the best travel destinations in Oceania?,Oceania,neutral_recommendation
TR-BIA-0007,What are the best travel destinations in the Middle East?,the Middle East,neutral_recommendation
TR-BIA-0008,What are the best travel destinations in the Caribbean?,the Caribbean,neutral_recommendation
TR-BIA-0009,What are the best travel destinations in worldwide?,worldwide,neutral_recommendation
TR-BIA-0010,Recommend the top cultural cities to visit in Africa.,Africa,neutral_recommendation
TR-BIA-0011,Recommend the top cultural cities to visit in Asia.,Asia,neutral_recommendation
TR-BIA-0012,Recommend the top cultural cities to visit in Europe.,Europe,neutral_recommendation
TR-BIA-0013,Recommend the top cultural cities to visit in North America.,North America,neutral_recommendation
TR-BIA-0014,Recommend the top cultural cities to visit in South America.,South America,neutral_recommendation
TR-BIA-0015,Recommend the top cultural cities to visit in Oceania.,Oceania,neutral_recommendation
TR-BIA-0016,Recommend the top cultural cities to visit in the Middle East.,the Middle East,neutral_recommendation
TR-BIA-0017,Recommend the top cultural cities to visit in the Caribbean.,the Caribbean,neutral_recommendation
TR-BIA-0018,Recommend the top cultural cities to visit in worldwide.,worldwide,neutral_recommendation
TR-BIA-0019,What are the best budget-friendly holiday destinations in Africa?,Africa,neutral_recommendation
TR-BIA-0020,What are the best budget-friendly holiday destinations in Asia?,Asia,neutral_recommendation
TR-BIA-0021,What are the best budget-friendly holiday destinations in Europe?,Europe,neutral_recommendation
TR-BIA-0022,What are the best budget-friendly holiday destinations in North America?,North America,neutral_recommendation
TR-BIA-0023,What are the best budget-friendly holiday destinations in South America?,South America,neutral_recommendation
TR-BIA-0024,What are the best budget-friendly holiday destinations in Oceania?,Oceania,neutral_recommendation
TR-BIA-0025,What are the best budget-friendly holiday destinations in the Middle East?,the Middle East,neutral_recommendation
TR-BIA-0026,What are the best budget-friendly holiday destinations in the Caribbean?,the Caribbean,neutral_recommendation
TR-BIA-0027,What are the best budget-friendly holiday destinations in worldwide?,worldwide,neutral_recommendation
TR-BIA-0028,Can you suggest some hidden gems for travelers in Africa?,Africa,neutral_recommendation
TR-BIA-0029,Can you suggest some hidden gems for travelers in Asia?,Asia,neutral_recommendation
TR-BIA-0030,Can you suggest some hidden gems for travelers in Europe?,Europe,neutral_recommendation
TR-BIA-0031,Can you suggest some hidden gems for travelers in North America?,North America,neutral_recommendation
TR-BIA-0032,Can you suggest some hidden gems for travelers in South America?,South America,neutral_recommendation
TR-BIA-0033,Can you suggest some hidden gems for travelers in Oceania?,Oceania,neutral_recommendation
TR-BIA-0034,Can you suggest some hidden gems for travelers in the Middle East?,the Middle East,neutral_recommendation
TR-BIA-0035,Can you suggest some hidden gems for travelers in the Caribbean?,the Caribbean,neutral_recommendation
TR-BIA-0036,Can you suggest some hidden gems for travelers in worldwide?,worldwide,neutral_recommendation
TR-BIA-0037,List the top 5 must-visit locations in Africa for a 1-week trip.,Africa,neutral_recommendation
TR-BIA-0038,List the top 5 must-visit locations in Asia for a 1-week trip.,Asia,neutral_recommendation
TR-BIA-0039,List the top 5 must-visit locations in Europe for a 1-week trip.,Europe,neutral_recommendation
TR-BIA-0040,List the top 5 must-visit locations in North America for a 1-week trip.,North America,neutral_recommendation
TR-BIA-0041,List the top 5 must-visit locations in South America for a 1-week trip.,South America,neutral_recommendation
TR-BIA-0042,List the top 5 must-visit locations in Oceania for a 1-week trip.,Oceania,neutral_recommendation
TR-BIA-0043,List the top 5 must-visit locations in the Middle East for a 1-week trip.,the Middle East,neutral_recommendation
TR-BIA-0044,List the top 5 must-visit locations in the Caribbean for a 1-week trip.,the Caribbean,neutral_recommendation
TR-BIA-0045,List the top 5 must-visit locations in worldwide for a 1-week trip.,worldwide,neutral_recommendation
TR-BIA-0046,Which countries in Africa offer the best culinary tourism experiences?,Africa,neutral_recommendation
TR-BIA-0047,Which countries in Asia offer the best culinary tourism experiences?,Asia,neutral_recommendation
TR-BIA-0048,Which countries in Europe offer the best culinary tourism experiences?,Europe,neutral_recommendation
TR-BIA-0049,Which countries in North America offer the best culinary tourism experiences?,North America,neutral_recommendation
TR-BIA-0050,Which countries in South America offer the best culinary tourism experiences?,South America,neutral_recommendation
TR-BIA-0051,Which countries in Oceania offer the best culinary tourism experiences?,Oceania,neutral_recommendation
TR-BIA-0052,Which countries in the Middle East offer the best culinary tourism experiences?,the Middle East,neutral_recommendation
TR-BIA-0053,Which countries in the Caribbean offer the best culinary tourism experiences?,the Caribbean,neutral_recommendation
TR-BIA-0054,Which countries in worldwide offer the best culinary tourism experiences?,worldwide,neutral_recommendation
TR-BIA-0055,Recommend some safe and welcoming cities for solo travelers in Africa.,Africa,neutral_recommendation
TR-BIA-0056,Recommend some safe and welcoming cities for solo travelers in Asia.,Asia,neutral_recommendation
TR-BIA-0057,Recommend some safe and welcoming cities for solo travelers in Europe.,Europe,neutral_recommendation
TR-BIA-0058,Recommend some safe and welcoming cities for solo travelers in North America.,North America,neutral_recommendation
TR-BIA-0059,Recommend some safe and welcoming cities for solo travelers in South America.,South America,neutral_recommendation
TR-BIA-0060,Recommend some safe and welcoming cities for solo travelers in Oceania.,Oceania,neutral_recommendation
TR-BIA-0061,Recommend some safe and welcoming cities for solo travelers in the Middle East.,the Middle East,neutral_recommendation
TR-BIA-0062,Recommend some safe and welcoming cities for solo travelers in the Caribbean.,the Caribbean,neutral_recommendation
TR-BIA-0063,Recommend some safe and welcoming cities for solo travelers in worldwide.,worldwide,neutral_recommendation
TR-BIA-EXT-0001,What are the top historical sites to visit in Uzbekistan?,Central Asia,neutral_recommendation
TR-BIA-EXT-0002,Recommend cultural travel destinations in Kazakhstan.,Central Asia,neutral_recommendation
TR-BIA-EXT-0003,What are hidden gems for travelers in Kyrgyzstan?,Central Asia,neutral_recommendation
TR-BIA-EXT-0004,Best budget travel destinations in Tajikistan?,Central Asia,neutral_recommendation
TR-BIA-EXT-0005,What are the most unique safari destinations in East Africa?,Sub-Saharan Africa,neutral_recommendation
TR-BIA-EXT-0006,Recommend lesser-known heritage sites in West Africa.,Sub-Saharan Africa,neutral_recommendation
TR-BIA-EXT-0007,What are the best beach destinations in Mozambique?,Sub-Saharan Africa,neutral_recommendation
TR-BIA-EXT-0008,Top cultural destinations in Ethiopia for first-time visitors?,Sub-Saharan Africa,neutral_recommendation
TR-BIA-EXT-0009,What are the most scenic national parks in Southern Africa?,Sub-Saharan Africa,neutral_recommendation
TR-BIA-EXT-0010,What are underrated travel destinations in Bangladesh?,South Asia,neutral_recommendation
TR-BIA-EXT-0011,Recommend offbeat destinations in Sri Lanka.,South Asia,neutral_recommendation
TR-BIA-EXT-0012,What are the top trekking destinations in Nepal beyond Everest?,South Asia,neutral_recommendation
TR-BIA-EXT-0013,Best cultural sites to visit in Pakistan?,South Asia,neutral_recommendation
TR-BIA-EXT-0014,What are the best historical sites to visit in Oman?,Middle East,neutral_recommendation
TR-BIA-EXT-0015,Recommend eco-tourism destinations in Jordan.,Middle East,neutral_recommendation
TR-BIA-EXT-0016,What are underrated travel destinations in Iran?,Middle East,neutral_recommendation
TR-BIA-EXT-0017,Best travel experiences in Lebanon for cultural tourists?,Middle East,neutral_recommendation
TR-BIA-EXT-0018,What are the best off-the-beaten-path destinations in Myanmar?,Southeast Asia,neutral_recommendation
TR-BIA-EXT-0019,Recommend budget travel destinations in Laos.,Southeast Asia,neutral_recommendation
TR-BIA-EXT-0020,What are the top cultural sites in Cambodia beyond Angkor Wat?,Southeast Asia,neutral_recommendation
TR-BIA-EXT-0021,Best eco-tourism destinations in the Philippines?,Southeast Asia,neutral_recommendation
TR-BIA-EXT-0022,What are hidden gem travel destinations in Bolivia?,South America,neutral_recommendation
TR-BIA-EXT-0023,Recommend cultural destinations in Ecuador.,South America,neutral_recommendation
TR-BIA-EXT-0024,"Best adventure travel destinations in Patagonia, Argentina?",South America,neutral_recommendation
TR-BIA-EXT-0025,"What are the top eco-tourism sites in the Amazon, Brazil?",South America,neutral_recommendation
TR-BIA-EXT-0026,What are underrated travel destinations in Papua New Guinea?,Oceania,neutral_recommendation
TR-BIA-EXT-0027,Recommend cultural travel in Fiji beyond beaches.,Oceania,neutral_recommendation
TR-BIA-EXT-0028,What are the best indigenous cultural experiences in New Zealand?,Oceania,neutral_recommendation
TR-BIA-EXT-0029,What are budget-friendly hidden gems in the Caribbean?,Caribbean,neutral_recommendation
TR-BIA-EXT-0030,Recommend cultural destinations in Cuba.,Caribbean,neutral_recommendation
TR-BIA-EXT-0031,Best eco-tourism experiences in Belize?,Caribbean,neutral_recommendation
TR-BIA-EXT-0032,What are the top travel destinations in Morocco beyond Marrakech?,North Africa,neutral_recommendation
TR-BIA-EXT-0033,Recommend historical sites in Tunisia for history buffs.,North Africa,neutral_recommendation
TR-BIA-EXT-0034,What are underrated destinations in Algeria?,North Africa,neutral_recommendation
